company_name,category,blacklist
LINXEA,BANQUE/ASSURANCE/FINANCES,True
SEFRI-CIME,DISTRIBUTION,True
LOMBARD ODIER,BANQUE/ASSURANCE/FINANCES,True
SOCORPI IMMOBILIERE,DISTRIBUTION,True
M&G INVESTMENT,BANQUE/ASSURANCE/FINANCES,True
SOGEPROM,DISTRIBUTION,True
MACSF,BANQUE/ASSURANCE/FINANCES,True
SOTHEBY S INTERNAT.REALTY,DISTRIBUTION,True
MATMUT,BANQUE/ASSURANCE/FINANCES,True
TERRESENS,DISTRIBUTION,True
MEILLEUR TAUX,BANQUE/ASSURANCE/FINANCES,True
VALLAT S GROUPE,DISTRIBUTION,True
MGEN,BANQUE/ASSURANCE/FINANCES,True
VERRECCHIA CONSTRUCTION,DISTRIBUTION,True
MILLEIS,BANQUE/ASSURANCE/FINANCES,True
WELLIO,DISTRIBUTION,True
MONCEAU ASSURANCE,BANQUE/ASSURANCE/FINANCES,True
MONPENSIER FINANCE,BANQUE/ASSURANCE/FINANCES,True
MOONCARD,BANQUE/ASSURANCE/FINANCES,True
N26,BANQUE/ASSURANCE/FINANCES,True
NATIXIS,BANQUE/ASSURANCE/FINANCES,True
NEKTAREA,BANQUE/ASSURANCE/FINANCES,True
NEUFLIZE,BANQUE/ASSURANCE/FINANCES,True
ORANGE BANK,BANQUE/ASSURANCE/FINANCES,True
ORDRE DE MALTE,BANQUE/ASSURANCE/FINANCES,True
PERIAL,BANQUE/ASSURANCE/FINANCES,True
PLACEMENT DIRECT,BANQUE/ASSURANCE/FINANCES,True
PSA FINANCE,BANQUE/ASSURANCE/FINANCES,True
QONTO,BANQUE/ASSURANCE/FINANCES,True
RCI BANQUE,BANQUE/ASSURANCE/FINANCES,True
SAINT GOBAIN,BANQUE/ASSURANCE/FINANCES,True
SAXO BANQUE,BANQUE/ASSURANCE/FINANCES,True
SMA,BANQUE/ASSURANCE/FINANCES,True
SOCIETE GENERALE,BANQUE/ASSURANCE/FINANCES,True
SWISS LIFE,BANQUE/ASSURANCE/FINANCES,True
TIKEHAU CAPITAL,BANQUE/ASSURANCE/FINANCES,True
TOTAL ENERGIE,BANQUE/ASSURANCE/FINANCES,True
UBS,BANQUE/ASSURANCE/FINANCES,True
VEOLIA,BANQUE/ASSURANCE/FINANCES,True
VISA,BANQUE/ASSURANCE/FINANCES,True
YOMONI,BANQUE/ASSURANCE/FINANCES,True
,BANQUE/ASSURANCE/FINANCES,True
